date,opponent,ph_goal,opp_goal,ph_goal_diff,ph_pen_goal,opp_pen_goal,ph_match_status,competition,competition_stage,sporting_event,location_city,location_country
1915-05-21,South China A.A.,1,3,-2,0,0,loss,unofficial friendly,,unofficial friendly,Shanghai,China
1968-01-06,Dallas Tornado,2,1,1,0,0,win,friendly,,friendly,Manila,Philippines
1972-02-12,Cruzeiro,0,6,-6,0,0,loss,friendly,,friendly,Manila,Philippines
1972-06-06,South Korea B,1,1,0,0,0,draw,1972 jakarta anniversary tournament,,jakarta anniversary tournament,Jakarta,Indonesia
1972-07-23,Burma B,1,1,0,0,0,draw,1972 merdeka tournament,,merdeka tournament,Ipoh,Malaysia
1975-12-12,Sabah FA,2,3,-1,0,0,loss,friendly,,friendly,Manila,Philippines
1981-08-16,Universidad de Guadalajara,0,12,-12,0,0,loss,1981 jakarta anniversary tournament,,jakarta anniversary tournament,Jakarta,Indonesia
1981-08-18,Malaysia B,2,0,2,0,0,win,1981 jakarta anniversary tournament,,jakarta anniversary tournament,Jakarta,Indonesia
1986-08-06,Guangdong,0,2,-2,0,0,loss,1986 president aquino cup,,president aquino cup,Manila,Philippines
1986-08-08,Russian SFSR,0,5,-5,0,0,loss,1986 president aquino cup,,president aquino cup,Manila,Philippines
1986-08-10,South China,1,5,-4,0,0,loss,1986 president aquino cup,,president aquino cup,Manila,Philippines
1991-05-07,Malay Mail,0,1,-1,0,0,loss,1991 philippines international cup,,philippines international cup,Bacolod,Philippines
1991-05-09,Taipei Bank,0,0,0,0,0,draw,1991 philippines international cup,,philippines international cup,Bacolod,Philippines
1993-05-12,Malay Mail,1,0,1,0,0,win,1993 philippines international cup,,philippines international cup,Bacolod,Philippines
1993-05-13,Taipei Bank,1,1,0,0,0,draw,1993 philippines international cup,,philippines international cup,Bacolod,Philippines
1993-05-14,Shanghai,1,2,-1,0,0,loss,1993 philippines international cup,,philippines international cup,Bacolod,Philippines
1997-02-15,Malay Mail,1,1,0,0,0,draw,1997 president's cup,,president's cup,Iloilo City,Philippines
1997-02-19,Woodlands Wellington,2,0,2,0,0,win,1997 president's cup,,president's cup,Iloilo City,Philippines
1997-02-21,Royal Thai Air Force,0,2,-2,0,0,loss,1997 president's cup ,semi-final,president's cup,Iloilo City,Philippines
1998-03-07,Tatung,0,1,-1,0,0,loss,1998 president's centennial cup,,president's centennial cup,Iloilo City,Philippines
1998-03-09,Malay Mail,2,1,1,0,0,win,1998 president's centennial cup,,president's centennial cup,Iloilo City,Philippines
1998-03-11,Woodlands Wellington,2,1,1,0,0,win,1998 president's centennial cup,,president's centennial cup,Iloilo City,Philippines
1998-03-14,Hong Kong Rangers,0,4,-4,0,0,loss,1998 president's centennial cup ,semi-final,president's centennial cup,Bacolod,Philippines
1998-03-15,Sembawang Rangers,1,3,-2,0,0,loss,1998 president's centennial cup ,3rd place play-off,president's centennial cup,Bacolod,Philippines
2006-04-03,India U-20,1,1,0,0,0,draw,2006 afc challenge cup ,group stage,afc challenge cup,Chittagong,Bangladesh
2008-10-11,Rattana Bundit,2,1,1,0,0,win,friendly,,friendly,Bangkok,Thailand
2008-10-13,Bangkok Glass,1,2,-1,0,0,loss,friendly,,friendly,Bangkok,Thailand
2010-01-17,Taipei PE College,1,2,-1,0,0,loss,friendly,,friendly,Kaohsiung,Taiwan
2010-10-03,Chinese Taipei U-23,0,1,-1,0,0,loss,friendly,,friendly,Tainan,Taiwan
2010-10-09,Hong Kong U-23,2,4,-2,0,0,loss,2010 long teng cup,,long teng cup,Kaohsiung,Taiwan
2010-11-27,Nakhon Pathom,0,8,-8,0,0,loss,friendly,,friendly,Nakhon Pathom,Thailand
2011-03-09,Kanto Gakuin University,0,4,-4,0,0,loss,friendly,,friendly,Gotemba,Japan
2011-03-11,Kanto Gakuin University,1,8,-7,0,0,loss,friendly,,friendly,Gotemba,Japan
2011-06-05,UFL All Stars,3,4,-1,0,0,loss,friendly,,friendly,Makati,Philippines
2011-06-15,Aachen-Düren XI,4,1,3,0,0,win,friendly,,friendly,Düren,Germany
2011-06-17,Bonner U-19,4,1,3,0,0,win,friendly,,friendly,Alfter,Germany
2011-06-22,Ingolstadt 04,0,4,-4,0,0,loss,friendly,,friendly,Ingolstadt,Germany
2011-06-24,Darmstadt 98,0,5,-5,0,0,loss,friendly,,friendly,Darmstadt,Germany
2011-07-16,Bahrain U23,1,2,-1,0,0,loss,friendly,,friendly,Riffa,Bahrain
2011-07-18,Bahrain U23,1,3,-2,0,0,loss,friendly,,friendly,Arad,Bahrain
2011-12-03,LA Galaxy,1,6,-5,0,0,loss,friendly,,friendly,Manila,Philippines
2012-01-07,Inter de Madrid,1,3,-2,0,0,loss,friendly,,friendly,Manila,Philippines
2012-01-21,Icheon Citizen FC,1,1,0,2,4,loss,friendly,,friendly,Manila,Philippines
2012-02-11,Uzbekistan U-23,0,3,-3,0,0,loss,friendly,,friendly,Dubai,United Arab Emirates
2012-02-13,Al Ahli SC,3,1,2,0,0,win,friendly,,friendly,Doha,Qatar
2012-02-16,Australia U-23,0,1,-1,0,0,loss,friendly,,friendly,Dubai,United Arab Emirates
2012-08-11,Chicago Inferno,1,3,-2,0,0,loss,friendly,,friendly,Wheaton,United States
2012-09-05,Cambodia,0,0,0,0,0,draw,friendly,,friendly,Phnom Penh,Cambodia
2012-09-10,Laos,1,2,-1,0,0,loss,friendly,,friendly,Vientiane,Laos
2014-04-14,Al Ahli SC,1,1,0,0,0,draw,friendly,,friendly,Doha,Qatar
2014-05-10,Al-Muharraq SC,1,2,-1,0,0,loss,friendly,,friendly,Riffa,Bahrain
2014-08-27,Global,3,1,2,0,0,win,friendly,,friendly,Manila,Philippines
2016-07-26,Perth Glory FC,0,2,-2,0,0,loss,friendly,,friendly,Bantay,Philippines
2018-11-06,Mongolia,3,1,2,0,0,win,unofficial friendly,,unofficial friendly,Imus,Philippines
2018-12-31,Vietnam,2,4,-2,0,0,loss,unofficial friendly,,unofficial friendly,Doha,Qatar
2019-06-09,Guangzhou Evergrande (RT),0,0,0,0,0,draw,unofficial friendly,,unofficial friendly,Guangzhou,China
2019-10-10,Chainat Hornbill,3,1,2,0,0,win,unofficial friendly,,unofficial friendly,Bacolod,Philippines
2023-10-15,Kyrgyzstan,1,0,1,0,0,win,unofficial friendly,,unofficial friendly,Manama,Bahrain
1913-02-04,China,2,1,1,0,0,win,1913 far eastern championship games,,far eastern championship games,Manila,Philippines
1915-05-17,China,0,1,-1,0,0,loss,1915 far eastern championship games,,far eastern championship games,Shanghai,China
1915-05-18,China,0,0,0,0,0,draw,1915 far eastern championship games,,far eastern championship games,Shanghai,China
1915-05-20,China,1,1,0,0,0,draw,1915 far eastern championship games,,far eastern championship games,Shanghai,China
1917-05-10,Japan,15,2,13,0,0,win,1917 far eastern championship games,,far eastern championship games,Tokyo,Japan
1917-05-11,China,0,3,-3,0,0,loss,1917 far eastern championship games,,far eastern championship games,Tokyo,Japan
1919-05-12,China,0,2,-2,0,0,loss,1919 far eastern championship games,,far eastern championship games,Manila,Philippines
1919-05-13,China,2,1,1,0,0,win,1919 far eastern championship games,,far eastern championship games,Manila,Philippines
1919-05-15,China,1,2,-1,0,0,loss,1919 far eastern championship games,,far eastern championship games,Manila,Philippines
1921-05-30,Japan,3,1,2,0,0,win,1921 far eastern championship games,,far eastern championship games,Shanghai,China
1921-06-02,China,0,1,-1,0,0,loss,1921 far eastern championship games,,far eastern championship games,Shanghai,China
1923-05-22,China,0,3,-3,0,0,loss,1923 far eastern championship games,,far eastern championship games,Osaka,Japan
1923-05-23,Japan,2,1,1,0,0,win,1923 far eastern championship games,,far eastern championship games,Osaka,Japan
1925-05-18,Japan,4,0,4,0,0,win,1925 far eastern championship games,,far eastern championship games,Manila,Philippines
1925-05-20,China,1,5,-4,0,0,loss,1925 far eastern championship games,,far eastern championship games,Manila,Philippines
1927-08-29,Japan,1,2,-1,0,0,loss,1927 far eastern championship games,,far eastern championship games,Shanghai,China
1927-08-31,China,1,3,-2,0,0,loss,1927 far eastern championship games,,far eastern championship games,Shanghai,China
1930-05-25,Japan,2,7,-5,0,0,loss,1930 far eastern championship games,,far eastern championship games,Tokyo,Japan
